movie_id,genre_id
171432,53
57283,99
57283,27
57283,36
25770,37
25770,35
669,99
669,18
35227,18
35227,53
5998,80
5998,53
22596,35
41348,35
175695,18
49452,18
701,35
701,10749
28974,18
28974,10749
31506,12
31506,18
31506,14
42512,12
42512,18
42512,14
28963,10749
28963,12
28963,14
120673,18
120673,10749
32318,35
32318,28
32318,12
32318,10749
992,28
992,35
992,9648
40574,35
40574,10749
176283,10749
176283,35
176283,18
84880,99
176272,35
176272,27
1405,18
1405,80
964,18
964,27
643,18
643,36
643,10752
962,12
962,35
962,18
33015,35
33015,37
42359,35
42359,10749
32600,35
32600,10749
2981,12
2981,14
2981,18
3060,10749
3060,10752
3060,18
44967,18
95956,10749
95956,18
38687,18
38687,10749
961,35
961,28
961,12
961,10752
42368,35
183514,35
19354,16
19354,12
19354,14
19354,10749
82283,35
82283,10749
19,18
19,878
42536,18
42536,36
42536,10752
27503,18
27503,10749
27503,27
631,18
631,10749
16661,35
16661,18
110655,37
73969,18
73969,35
73969,10749
28966,18
28966,28
28966,10752
28966,10749
939,18
939,10402
52782,18
52782,12
780,18
780,36
22595,35
28978,35
28978,10751
28978,10749
31411,35
31411,10749
25768,35
25768,10749
27777,80
27777,18
85697,12
85697,18
85697,80
189935,18
110887,12
110887,35
53209,35
53209,10749
53209,18
190160,18
190160,80
27517,18
27517,10749
27517,27
3061,18
3061,10749
885,18
885,10749
42614,18
42614,10749
626,27
626,14
20625,35
20625,10402
53528,35
905,18
905,80
905,10749
26317,99
543,18
543,53
543,80
35454,18
35454,12
35454,10749
47695,18
47695,35
65203,10402
65203,10749
65203,18
228,18
143,18
143,10752
42812,18
42812,10749
122047,18
122047,10749
5729,10749
5729,35
5729,18
42641,18
42641,10749
85505,18
85505,35
166645,10402
166645,35
26162,9648
26162,35
26162,80
26162,27
31930,9648
31930,80
31930,53
13913,35
13913,10402
832,18
832,53
832,80
9653,18
9653,10749
51394,80
51394,18
51394,35
3035,18
3035,27
3035,878
238069,18
35545,80
35545,18
35545,10749
977,10749
977,18
977,12
53797,18
53797,10749
53797,35
99732,18
375282,35
138,27
13911,35
901,35
901,18
901,10749
31409,35
31409,10749
156324,18
17687,80
